month,sl_no,project_code,legacy_ocms_code,project_name,agency,ministry,sector,state,date_of_approval,start_date,target_doc,revised_doc,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,date_of_approval_dt,start_date_dt,target_doc_dt,revised_doc_dt,cost_overrun_pct,planned_duration_months,schedule_slippage_months,is_cost_overrun,is_time_overrun,approval_year,is_multi_state,log_original_cost,agency_hist_overrun_pct,sector_hist_overrun_pct,ministry_hist_overrun_pct,agency_hist_slippage_months,sector_hist_slippage_months,ministry_hist_slippage_months
2026-04,1,612786,N04000106,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,03/2023,01/2024,01/2026,07/2026,265.91,265.91,129.07,65.0,2023-03-01,2024-01-01,2026-01-01,2026-07-01,0.0,34.06701708278581,5.946123521681997,0,1,2023.0,0,5.586911522924786,2.08735632183908,3.8223142203161538,3.8223142203161538,11.877792378449408,11.998382694834731,11.998382694834731
2026-04,2,701107,N04000091,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,06/2020,09/2020,09/2022,10/2026,611.8,611.8,523.14,87.2,2020-06-01,2020-09-01,2022-09-01,2026-10-01,0.0,27.003942181340346,48.98160315374507,0,1,2020.0,0,6.418038618426381,2.08735632183908,3.8223142203161538,3.8223142203161538,11.877792378449408,11.998382694834731,11.998382694834731
2026-04,3,701121,N04000103,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,12/2022,08/2023,08/2025,06/2026,347.15,347.15,170.79,90.0,2022-12-01,2023-08-01,2025-08-01,2026-06-01,0.0,31.99737187910644,9.986859395532194,0,1,2022.0,0,5.852633421388556,2.08735632183908,3.8223142203161538,3.8223142203161538,11.877792378449408,11.998382694834731,11.998382694834731
2026-04,4,706724,N04000083,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Assam,12/2016,03/2018,03/2025,06/2026,1712.0,2520.0,2627.39,98.0,2016-12-01,2018-03-01,2025-03-01,2026-06-01,47.19626168224299,98.94875164257556,15.013140604467806,1,1,2016.0,0,7.44600149832412,47.19626168224299,3.8223142203161538,3.8223142203161538,15.013140604467806,11.998382694834731,11.998382694834731
2026-04,5,612183,-,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,08/2024,04/2025,03/2027,-,1413.0,1413.0,7.64,1.28,2024-08-01,2025-04-01,2027-03-01,,0.0,30.946123521682,0.0,0,0,2024.0,0,7.254177846456518,2.08735632183908,3.8223142203161538,3.8223142203161538,11.877792378449408,11.998382694834731,11.998382694834731
2026-04,6,612194,N04000112,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,07/2024,07/2024,07/2026,11/2026,911.66,911.66,374.49,65.0,2024-07-01,2024-07-01,2026-07-01,2026-11-01,0.0,23.98160315374507,4.040735873850197,0,1,2024.0,0,6.8163634125517065,2.08735632183908,3.8223142203161538,3.8223142203161538,11.877792378449408,11.998382694834731,11.998382694834731
2026-04,7,701101,N04000082,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,10/2018,10/2018,05/2026,05/2026,1216.9,1216.9,1200.67,98.22,2018-10-01,2018-10-01,2026-05-01,2026-05-01,0.0,90.9658344283837,0.0,0,0,2018.0,0,7.104883343093065,2.08735632183908,3.8223142203161538,3.8223142203161538,11.877792378449408,11.998382694834731,11.998382694834731
2026-04,8,701105,N04000095,Goa Airport Terminal Building Extension Project,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Goa,11/2017,12/2019,12/2021,04/2026,255.69,255.69,156.7,100.0,2017-11-01,2019-12-01,2021-12-01,2026-04-01,0.0,48.98160315374507,51.97109067017082,0,1,2017.0,0,5.547869131138548,2.08735632183908,3.8223142203161538,3.8223142203161538,11.877792378449408,11.998382694834731,11.998382694834731
2026-04,9,619054,-,Development of Keshod Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,01/2024,07/2025,01/2027,-,363.1,363.1,87.88,33.13,2024-01-01,2025-07-01,2027-01-01,,0.0,36.00525624178712,0.0,0,0,2024.0,0,5.897428555181388,2.08735632183908,3.8223142203161538,3.8223142203161538,11.877792378449408,11.998382694834731,11.998382694834731
2026-04,10,701126,N04000099,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,06/2022,07/2022,06/2026,06/2026,1305.0,1551.0,896.82,82.0,2022-06-01,2022-07-01,2026-06-01,2026-06-01,18.85057471264368,47.99605781865966,0.0,1,0,2022.0,0,7.174724309836376,2.08735632183908,3.8223142203161538,3.8223142203161538,11.877792378449408,11.998382694834731,11.998382694834731
