month,sl_no,project_code,legacy_ocms_code,project_name,agency,ministry,sector,state,date_of_approval,start_date,target_doc,revised_doc,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct
2026-04,1,612786,N04000106,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,03/2023,01/2024,01/2026,07/2026,265.91,265.91,129.07,65
2026-04,2,701107,N04000091,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,06/2020,09/2020,09/2022,10/2026,611.8,611.8,523.14,87.2
2026-04,3,701121,N04000103,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,12/2022,08/2023,08/2025,06/2026,347.15,347.15,170.79,90
2026-04,4,706724,N04000083,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Assam,12/2016,03/2018,03/2025,06/2026,1712,2520,2627.39,98
2026-04,5,612183,-,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,08/2024,04/2025,03/2027,-,1413,1413,7.64,1.28
2026-04,6,612194,N04000112,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,07/2024,07/2024,07/2026,11/2026,911.66,911.66,374.49,65
2026-04,7,701101,N04000082,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,10/2018,10/2018,05/2026,05/2026,1216.9,1216.9,1200.67,98.22
2026-04,8,701105,N04000095,Goa Airport Terminal Building Extension Project,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Goa,11/2017,12/2019,12/2021,04/2026,255.69,255.69,156.7,100
2026-04,9,619054,-,Development of Keshod Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,01/2024,07/2025,01/2027,-,363.1,363.1,87.88,33.13
2026-04,10,701126,N04000099,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,06/2022,07/2022,06/2026,06/2026,1305,1551,896.82,82
2026-04,11,611047,N04000107,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Jammu and Kashmir,10/2023,12/2023,06/2026,11/2026,861.37,861.37,319.5,51.35
2026-04,12,612787,N04000108,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Karnataka,06/2023,01/2024,01/2026,06/2026,320.47,320.47,148.68,77
2026-04,13,612788,N04000105,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Karnataka,06/2023,02/2024,02/2026,06/2026,322.45,322.45,204.5,87
2026-04,14,612789,N04000111,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Kerala,06/2023,02/2024,09/2025,12/2026,484.57,484.57,204.6,59
2026-04,15,400010,N04000078,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Ladakh,07/2018,09/2018,09/2021,07/2026,480,640,501.81,78.9
2026-04,16,706718,N04000100,C/o NITB Imphal Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Manipur,11/2021,07/2022,07/2024,12/2026,499,499,201.99,50.69
2026-04,17,611570,-,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",12/2020,10/2022,09/2025,08/2026,500.48,500.48,381.2,78
2026-04,18,618977,-,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Rajasthan,08/2025,10/2025,10/2027,11/2027,1507,1507,40.4,12.8
2026-04,19,701127,N04000101,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Rajasthan,06/2022,05/2023,03/2026,04/2026,480,480,339.96,97.35
2026-04,20,701128,N04000104,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Rajasthan,06/2023,11/2023,03/2026,09/2026,887,887,523.61,68.71
2026-04,21,612793,N04000110,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Sikkim,11/2023,12/2023,06/2026,06/2027,323.26,323.26,80.84,34.25
2026-04,22,611602,-,"Modernization of Chennai Airport, Phase II, Part 2",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Tamil Nadu,05/2018,06/2023,07/2025,12/2026,1207,1207,289.5,38
2026-04,23,701113,N04000114,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Uttar Pradesh,07/2024,07/2024,07/2027,07/2027,2869.65,2869.65,572.04,27
2026-04,24,701122,N04000113,Development of New Integrated Civil Enclave at Agra Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Uttar Pradesh,06/2024,07/2024,07/2026,11/2026,579,579,197.61,40.03
2026-04,25,611495,N04000115,Development of New Civil Enclave at Bagdogra Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,West Bengal,08/2024,09/2024,03/2027,01/2027,1549,1549,441.41,34.6
2026-04,26,612791,N04000109,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,West Bengal,03/2023,12/2023,10/2025,08/2026,328.3,328.3,139.77,64.5
2026-04,27,615820,N06000290,TIKAK EXTENSION OCP,MIS MoCoal Integration Logins,Ministry of Coal,Coal,Assam,07/2022,07/2022,07/2031,-,159.77,159.77,111.47,88.18
2026-04,28,615821,N06000291,TIRAP OCP,MIS MoCoal Integration Logins,Ministry of Coal,Coal,Assam,11/2022,11/2022,11/2030,-,289.46,289.46,105.61,3.26
2026-04,29,400144,N06000199,PORDA CHIMTAPANI OCP [10 MTY],South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,12/2020,12/2020,03/2029,-,2310.12,2310.12,113.83,11.81
2026-04,30,400149,N06000197,BAROUD OC EXPANSION [3.0-10.0M,South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,08/2020,08/2020,03/2029,-,2309.8,2309.8,993.79,55.95
2026-04,31,400354,N06000200,DIPKA EXPANSION OCP [40 MTY],South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,12/2020,12/2020,03/2029,-,5241.4,5241.4,2910.11,38
2026-04,32,400424,060100093,GEVRA OC [70 MTY],South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,03/2016,03/2016,03/2023,03/2027,11816.4,11816.4,6905.46,78.48
2026-04,33,613798,N06000123,AMERA OC RCE [1.0 MTY],South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,02/2015,02/2015,03/2026,-,335.97,335.97,90.88,42.47
2026-04,34,613799,N06000135,AMGAON OC RCE [1.0 MTY],South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,07/2015,07/2015,03/2026,-,316.11,316.11,191.5,78.86
2026-04,35,613800,N06000232,JAGANNATHPUR OC RCE PROJECT,South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,07/2016,07/2016,03/2025,03/2027,459.49,459.49,276.8,96.15
2026-04,36,613801,N06000164,MAHAMAYA OCP [1.50 MTY],South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,05/2018,05/2018,03/2026,03/2028,410.26,410.26,187.63,54.6
2026-04,37,615191,N06000274,KATKONA RO UG MINE,South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,01/2023,01/2023,03/2029,-,329.21,329.21,62.03,2.01
2026-04,38,616234,N06000045,PELMA OC MDO,South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,10/2022,10/2022,03/2033,-,1725.04,1725.04,16.71,40.34
2026-04,39,617287,-,KUSMUNDA OC EXPANSION PROJECT,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,11/2024,11/2024,03/2030,-,4516.88,4516.88,817.06,22
2026-04,40,617288,-,MANIKPUR OC EXPANSION PROJECT,South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Chhattisgarh,01/2025,01/2025,03/2029,-,382.61,382.61,116.09,21.29
2026-04,41,619171,-,RPR FOR DURGAPUR OCP 10 MTY,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,09/2025,09/2025,03/2032,-,2415.91,2415.91,2.35,0.01
