project_code,project_name,comparable_project_code,comparable_project_name,comparable_agency,comparable_cost_overrun_pct,comparable_schedule_slippage_months,comparable_outcome_note
612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Airport Authority of India [AAI],0.0,3.9,Significant overrun/delay
701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,706718,C/o NITB Imphal Airport,Airport Authority of India [AAI],0.0,29.0,Significant overrun/delay
701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,612791,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",Airport Authority of India [AAI],0.0,10.0,Significant overrun/delay
706724,Guwahati Airport New Integrated Terminal Building Construction Project,701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],0.0,0.0,Recovered / on track
612183,Development of New Civil Enclave at Bihta,611495,Development of New Civil Enclave at Bagdogra Airport,Airport Authority of India [AAI],0.0,-1.9,Recovered / on track
612194,Development of New Civil Enclave and associated works at Darbhanga Airport,611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],0.0,5.0,Significant overrun/delay
701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",611602,"Modernization of Chennai Airport, Phase II, Part 2",Airport Authority of India [AAI],0.0,17.0,Significant overrun/delay
701105,Goa Airport Terminal Building Extension Project,400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],33.3,58.0,Significant overrun/delay
619054,Development of Keshod Airport.,612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Airport Authority of India [AAI],0.0,3.9,Significant overrun/delay
701126,"Development of Dholera International Greenfield Airport , Gujarat",701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Airport Authority of India [AAI],0.0,6.0,Significant overrun/delay
611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Airport Authority of India [AAI],0.0,6.0,Significant overrun/delay
612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Airport Authority of India [AAI],0.0,12.0,Significant overrun/delay
612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Airport Authority of India [AAI],0.0,5.0,Significant overrun/delay
612789,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",701122,Development of New Integrated Civil Enclave at Agra Airport,Airport Authority of India [AAI],0.0,4.0,Significant overrun/delay
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],0.0,49.0,Significant overrun/delay
706718,C/o NITB Imphal Airport,701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],0.0,49.0,Significant overrun/delay
611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Airport Authority of India [AAI],0.0,1.0,Recovered / on track
618977,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",611495,Development of New Civil Enclave at Bagdogra Airport,Airport Authority of India [AAI],0.0,-1.9,Recovered / on track
701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,706718,C/o NITB Imphal Airport,Airport Authority of India [AAI],0.0,29.0,Significant overrun/delay
701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],0.0,5.0,Significant overrun/delay
612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Airport Authority of India [AAI],0.0,5.0,Significant overrun/delay
611602,"Modernization of Chennai Airport, Phase II, Part 2",701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],0.0,0.0,Recovered / on track
701113,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",611495,Development of New Civil Enclave at Bagdogra Airport,Airport Authority of India [AAI],0.0,-1.9,Recovered / on track
701122,Development of New Integrated Civil Enclave at Agra Airport,612789,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Airport Authority of India [AAI],0.0,15.0,Significant overrun/delay
611495,Development of New Civil Enclave at Bagdogra Airport,612183,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],0.0,0.0,Recovered / on track
612791,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Airport Authority of India [AAI],0.0,12.0,Significant overrun/delay
615820,TIKAK EXTENSION OCP,615194,URDHAN EXPANSION OC COST PLUS,Western Coalfields Limited [WCL],0.0,0.0,Recovered / on track
615821,TIRAP OCP,615190,SINGHORI DEEP OC MIN 2.0 MTY,Western Coalfields Limited [WCL],0.0,0.0,Recovered / on track
400144,PORDA CHIMTAPANI OCP [10 MTY],400149,BAROUD OC EXPANSION [3.0-10.0M,South Eastern Coalfields Limited [SECL],0.0,0.0,Recovered / on track
400149,BAROUD OC EXPANSION [3.0-10.0M,400144,PORDA CHIMTAPANI OCP [10 MTY],South Eastern Coalfields Limited [SECL],0.0,0.0,Recovered / on track
400354,DIPKA EXPANSION OCP [40 MTY],400156,EPR AMRAPALI OCP,Ministry of Coal,0.0,0.0,Recovered / on track
400424,GEVRA OC [70 MTY],400150,RPR MAGADH EXP OCP,Ministry of Coal,0.0,0.0,Recovered / on track
613798,AMERA OC RCE [1.0 MTY],613799,AMGAON OC RCE [1.0 MTY],South Eastern Coalfields Limited [SECL],0.0,0.0,Recovered / on track
613799,AMGAON OC RCE [1.0 MTY],613798,AMERA OC RCE [1.0 MTY],South Eastern Coalfields Limited [SECL],0.0,0.0,Recovered / on track
613800,JAGANNATHPUR OC RCE PROJECT,615865,Kakatiyakhani OC - 2 Project,Singareni Collieries Company Limited [SCCL],0.0,12.0,Significant overrun/delay
613801,MAHAMAYA OCP [1.50 MTY],400172,CHITRA EAST OC,Eastern Coal Fields Limited [ECL],0.0,24.0,Significant overrun/delay
