target_month,project_code,project_name,rank,comparable_project_code,comparable_project_name,comparable_month,similarity_pct,distance,same_sector,same_ministry,comparable_cost_overrun_pct,comparable_schedule_slippage_months,comparable_progress_pct,match_rationale
2026-05,619072,Bangalore/TN border to Hoskote,1,619072,Bangalore/TN border to Hoskote,2026-04,99.7,0.005,True,True,9.8,17.9,94.7,Matching sector (Roads & Highways); Same ministry (Ministry of Road Transport & Highways); Comparable capital outlay (within ₹100 Cr); Similar planned timeframe (±0 mos)
2026-05,619072,Bangalore/TN border to Hoskote,2,619292,4L Medinipur to Ballupur from Km. 458.65 to Km. 487.65 of NH-07Pkg-2,2026-04,95.0,0.087,True,True,-1.9,16.9,93.9,Matching sector (Roads & Highways); Same ministry (Ministry of Road Transport & Highways); Comparable capital outlay (within ₹100 Cr); Similar planned timeframe (±0 mos)
2026-05,619072,Bangalore/TN border to Hoskote,3,618744,4L of Thirumangalam to Vadugapatti section from km 0.000 to km 36.000 of NH-744,2026-04,93.4,0.119,True,True,-26.5,15.9,95.4,Matching sector (Roads & Highways); Same ministry (Ministry of Road Transport & Highways); Similar capital tier (within ₹500 Cr); Similar planned timeframe (±0 mos)
2026-05,619072,Bangalore/TN border to Hoskote,4,618745,4L of Vadugapatti to Therkuvenganallur Rajapalyam section from km 36.000 to km 71.600 of NH-744,2026-04,90.1,0.184,True,True,-13.7,13.0,100.0,Matching sector (Roads & Highways); Same ministry (Ministry of Road Transport & Highways); Similar capital tier (within ₹500 Cr); Similar planned timeframe (±0 mos)
2026-05,619072,Bangalore/TN border to Hoskote,5,618787,"Upgradation to 4L PS from Bhimasar, Junction of NH-41 to Anjar- Bhuj upto Airport Junction from Km 0.000 to Km 65.478 of NH-341",2026-04,88.3,0.22,True,True,22.9,15.0,96.0,Matching sector (Roads & Highways); Same ministry (Ministry of Road Transport & Highways); Similar capital tier (within ₹500 Cr); Similar planned timeframe (±4 mos)
2026-05,618233,Construction of 6-lane bridge on Ganga on NH-96 and its approaches in Phaphamau Allahabad on EPC mode,1,618233,Construction of 6-lane bridge on Ganga on NH-96 and its approaches in Phaphamau Allahabad on EPC mode,2026-04,98.3,0.028,True,True,-24.8,31.0,87.9,Matching sector (Roads & Highways); Same ministry (Ministry of Road Transport & Highways); Comparable capital outlay (within ₹100 Cr); Similar planned timeframe (±0 mos)
2026-05,618233,Construction of 6-lane bridge on Ganga on NH-96 and its approaches in Phaphamau Allahabad on EPC mode,2,618434,Roing-Hunli Road Greenfield Alignment Project,2026-04,78.1,0.467,True,True,0.0,51.0,82.0,Matching sector (Roads & Highways); Same ministry (Ministry of Road Transport & Highways); Similar capital tier (within ₹500 Cr)
2026-05,618233,Construction of 6-lane bridge on Ganga on NH-96 and its approaches in Phaphamau Allahabad on EPC mode,3,618894,4L of Madathukulam - Pollachi from km. 74.38 to km. 116.95 of old NH-209 New NH- 83,2026-04,72.7,0.626,True,True,0.0,42.0,91.8,Matching sector (Roads & Highways); Same ministry (Ministry of Road Transport & Highways); Similar capital tier (within ₹500 Cr); Similar planned timeframe (±11 mos)
2026-05,618233,Construction of 6-lane bridge on Ganga on NH-96 and its approaches in Phaphamau Allahabad on EPC mode,4,618845,Puducherry Km.29.000 to Poondiyankuppam Km.67.000,2026-04,72.6,0.629,True,True,-10.9,31.0,98.8,Matching sector (Roads & Highways); Same ministry (Ministry of Road Transport & Highways); Similar capital tier (within ₹500 Cr); Similar planned timeframe (±11 mos)
2026-05,618233,Construction of 6-lane bridge on Ganga on NH-96 and its approaches in Phaphamau Allahabad on EPC mode,5,618228,construction of a new 4 lane Parallel to existing MG Setu with its approaces from km 0.00 to km 14.500 across river Ganga on NH-19 at Patna in the state of Bihar.,2026-04,71.6,0.661,True,True,0.0,33.0,72.5,Matching sector (Roads & Highways); Same ministry (Ministry of Road Transport & Highways); Similar planned timeframe (±6 mos)
